source,target
9000,4500
4500,2250
2250,1125
1125,3376
3376,1688
1688,844
844,422
422,211
211,634
634,317
317,952
952,476
476,238
238,119
119,358
358,179
179,538
538,269
269,808
808,404
404,202
202,101
101,304
304,152
152,76
76,38
38,19
19,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
9001,27004
27004,13502
13502,6751
6751,20254
20254,10127
10127,30382
30382,15191
15191,45574
45574,22787
22787,68362
68362,34181
34181,102544
102544,51272
51272,25636
25636,12818
12818,6409
6409,19228
19228,9614
9614,4807
4807,14422
14422,7211
7211,21634
21634,10817
10817,32452
32452,16226
16226,8113
8113,24340
24340,12170
12170,6085
6085,18256
18256,9128
9128,4564
4564,2282
2282,1141
1141,3424
3424,1712
1712,856
856,428
428,214
214,107
107,322
322,161
161,484
484,242
242,121
121,364
364,182
182,91
91,274
274,137
137,412
412,206
206,103
103,310
310,155
155,466
466,233
233,700
700,350
350,175
175,526
526,263
263,790
790,395
395,1186
1186,593
593,1780
1780,890
890,445
445,1336
1336,668
668,334
334,167
167,502
502,251
251,754
754,377
377,1132
1132,566
566,283
283,850
850,425
425,1276
1276,638
638,319
319,958
958,479
479,1438
1438,719
719,2158
2158,1079
1079,3238
3238,1619
1619,4858
4858,2429
2429,7288
7288,3644
3644,1822
1822,911
911,2734
2734,1367
1367,4102
4102,2051
2051,6154
6154,3077
3077,9232
9232,4616
4616,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
9002,4501
4501,13504
13504,6752
6752,3376
3376,1688
1688,844
844,422
422,211
211,634
634,317
317,952
952,476
476,238
238,119
119,358
358,179
179,538
538,269
269,808
808,404
404,202
202,101
101,304
304,152
152,76
76,38
38,19
19,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
9003,27010
27010,13505
13505,40516
40516,20258
20258,10129
10129,30388
30388,15194
15194,7597
7597,22792
22792,11396
11396,5698
5698,2849
2849,8548
8548,4274
4274,2137
2137,6412
6412,3206
3206,1603
1603,4810
4810,2405
2405,7216
7216,3608
3608,1804
1804,902
902,451
451,1354
1354,677
677,2032
2032,1016
1016,508
508,254
254,127
127,382
382,191
191,574
574,287
287,862
862,431
431,1294
1294,647
647,1942
1942,971
971,2914
2914,1457
1457,4372
4372,2186
2186,1093
1093,3280
3280,1640
1640,820
820,410
410,205
205,616
616,308
308,154
154,77
77,232
232,116
116,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
9004,4502
4502,2251
2251,6754
6754,3377
3377,10132
10132,5066
5066,2533
2533,7600
7600,3800
3800,1900
1900,950
950,475
475,1426
1426,713
713,2140
2140,1070
1070,535
535,1606
1606,803
803,2410
2410,1205
1205,3616
3616,1808
1808,904
904,452
452,226
226,113
113,340
340,170
170,85
85,256
256,128
128,64
64,32
32,16
16,8
8,4
4,2
2,1
9005,27016
27016,13508
13508,6754
6754,3377
3377,10132
10132,5066
5066,2533
2533,7600
7600,3800
3800,1900
1900,950
950,475
475,1426
1426,713
713,2140
2140,1070
1070,535
535,1606
1606,803
803,2410
2410,1205
1205,3616
3616,1808
1808,904
904,452
452,226
226,113
113,340
340,170
170,85
85,256
256,128
128,64
64,32
32,16
16,8
8,4
4,2
2,1
9006,4503
4503,13510
13510,6755
6755,20266
20266,10133
10133,30400
30400,15200
15200,7600
7600,3800
3800,1900
1900,950
950,475
475,1426
1426,713
713,2140
2140,1070
1070,535
535,1606
1606,803
803,2410
2410,1205
1205,3616
3616,1808
1808,904
904,452
452,226
226,113
113,340
340,170
170,85
85,256
256,128
128,64
64,32
32,16
16,8
8,4
4,2
2,1
9007,27022
27022,13511
13511,40534
40534,20267
20267,60802
60802,30401
30401,91204
91204,45602
45602,22801
22801,68404
68404,34202
34202,17101
17101,51304
51304,25652
25652,12826
12826,6413
6413,19240
19240,9620
9620,4810
4810,2405
2405,7216
7216,3608
3608,1804
1804,902
902,451
451,1354
1354,677
677,2032
2032,1016
1016,508
508,254
254,127
127,382
382,191
191,574
574,287
287,862
862,431
431,1294
1294,647
647,1942
1942,971
971,2914
2914,1457
1457,4372
4372,2186
2186,1093
1093,3280
3280,1640
1640,820
820,410
410,205
205,616
616,308
308,154
154,77
77,232
232,116
116,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
9008,4504
4504,2252
2252,1126
1126,563
563,1690
1690,845
845,2536
2536,1268
1268,634
634,317
317,952
952,476
476,238
238,119
119,358
358,179
179,538
538,269
269,808
808,404
404,202
202,101
101,304
304,152
152,76
76,38
38,19
19,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
9009,27028
27028,13514
13514,6757
6757,20272
20272,10136
10136,5068
5068,2534
2534,1267
1267,3802
3802,1901
1901,5704
5704,2852
2852,1426
1426,713
713,2140
2140,1070
1070,535
535,1606
1606,803
803,2410
2410,1205
1205,3616
3616,1808
1808,904
904,452
452,226
226,113
113,340
340,170
170,85
85,256
256,128
128,64
64,32
32,16
16,8
8,4
4,2
2,1
9010,4505
4505,13516
13516,6758
6758,3379
3379,10138
10138,5069
5069,15208
15208,7604
7604,3802
3802,1901
1901,5704
5704,2852
2852,1426
1426,713
713,2140
2140,1070
1070,535
535,1606
1606,803
803,2410
2410,1205
1205,3616
3616,1808
1808,904
904,452
452,226
226,113
113,340
340,170
170,85
85,256
256,128
128,64
64,32
32,16
16,8
8,4
4,2
2,1
9011,27034
27034,13517
13517,40552
40552,20276
20276,10138
10138,5069
5069,15208
15208,7604
7604,3802
3802,1901
1901,5704
5704,2852
2852,1426
1426,713
713,2140
2140,1070
1070,535
535,1606
1606,803
803,2410
2410,1205
1205,3616
3616,1808
1808,904
904,452
452,226
226,113
113,340
340,170
170,85
85,256
256,128
128,64
64,32
32,16
16,8
8,4
4,2
2,1
9012,4506
4506,2253
2253,6760
6760,3380
3380,1690
1690,845
845,2536
2536,1268
1268,634
634,317
317,952
952,476
476,238
238,119
119,358
358,179
179,538
538,269
269,808
808,404
404,202
202,101
101,304
304,152
152,76
76,38
38,19
19,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
9013,27040
27040,13520
13520,6760
6760,3380
3380,1690
1690,845
845,2536
2536,1268
1268,634
634,317
317,952
952,476
476,238
238,119
119,358
358,179
179,538
538,269
269,808
808,404
404,202
202,101
101,304
304,152
152,76
76,38
38,19
19,58
58,29
29,88
88,44
44,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
9014,4507
4507,13522
13522,6761
6761,20284
20284,10142
10142,5071
5071,15214
15214,7607
7607,22822
22822,11411
11411,34234
34234,17117
17117,51352
51352,25676
25676,12838
12838,6419
6419,19258
19258,9629
9629,28888
28888,14444
14444,7222
7222,3611
3611,10834
10834,5417
5417,16252
16252,8126
8126,4063
4063,12190
12190,6095
6095,18286
18286,9143
9143,27430
27430,13715
13715,41146
41146,20573
20573,61720
61720,30860
30860,15430
15430,7715
7715,23146
23146,11573
11573,34720
34720,17360
17360,8680
8680,4340
4340,2170
2170,1085
1085,3256
3256,1628
1628,814
814,407
407,1222
1222,611
611,1834
1834,917
917,2752
2752,1376
1376,688
688,344
344,172
172,86
86,43
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
37,112
112,56
56,28
28,14
14,7
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
10,5
5,16
16,8
8,4
4,2
2,1
9015,27046
27046,13523
13523,40570
40570,20285
20285,60856
60856,30428
30428,15214
15214,7607
7607,22822
22822,11411
11411,34234
34234,17117
17117,51352
51352,25676
25676,12838
12838,6419
6419,19258
19258,9629
9629,28888
28888,14444
14444,7222
7222,3611
3611,10834
10834,5417
5417,16252
16252,8126
8126,4063
4063,12190
12190,6095
6095,18286
